,Rho,Cos,Ion Temperature,Minimum Energy
57,0.56,-0.625,1.2625814000000002,3521.361005837903
58,0.56,-0.375,1.2625814000000002,2739.825777875644
59,0.56,-0.125,1.2625814000000002,1821.684589087151
60,0.56,0.125,1.2625814000000002,1077.9881787627382
61,0.56,0.375,1.2625814000000002,619.1569387716227
62,0.56,0.625,1.2625814000000002,337.82064288657386
63,0.56,0.875,1.2625814000000002,182.97123424550227
64,0.64,-0.875,1.1069127999999997,2754.638921115779
65,0.64,-0.625,1.1069127999999997,2481.09107281537
66,0.64,-0.375,1.1069127999999997,1959.5533180058867
67,0.64,-0.125,1.1069127999999997,1338.3903606998354
68,0.64,0.125,1.1069127999999997,819.7697937073485
69,0.64,0.375,1.1069127999999997,485.8804004166667
70,0.64,0.625,1.1069127999999997,267.5901267334579
71,0.64,0.875,1.1069127999999997,143.43025160993903
72,0.72,-0.875,0.9691854900000001,1747.9351661026842
73,0.72,-0.625,0.9691854900000001,1582.854626737865
74,0.72,-0.375,0.9691854900000001,1267.7710633974996
75,0.72,-0.125,0.9691854900000001,887.9826180362439
76,0.72,0.125,0.9691854900000001,561.7996005238703
77,0.72,0.375,0.9691854900000001,343.1786304014234
78,0.72,0.625,0.9691854900000001,190.68936602949174
79,0.72,0.875,0.9691854900000001,101.12774535671346
80,0.8,-0.875,0.8366970000000001,943.01408937966
81,0.8,-0.625,0.8366970000000001,858.5759134985548
82,0.8,-0.375,0.8366970000000001,697.4663274651618
83,0.8,-0.125,0.8366970000000001,500.97662596697774
84,0.8,0.125,0.8366970000000001,327.3724732791696
85,0.8,0.375,0.8366970000000001,206.21027855852336
86,0.8,0.625,0.8366970000000001,115.63283406051106
87,0.8,0.875,0.8366970000000001,60.664208897146146
88,0.8020202020202021,-0.875,0.8333086931407278,925.697592701345
89,0.8020202020202021,-0.625,0.8333086931407278,842.925112970006
90,0.8020202020202021,-0.375,0.8333086931407278,684.9977104054759
91,0.8020202020202021,-0.125,0.8333086931407278,492.3324075171005
92,0.8020202020202021,0.125,0.8333086931407278,321.98562873400425
93,0.8020202020202021,0.375,0.8333086931407278,202.9752737931303
94,0.8020202020202021,0.625,0.8333086931407278,113.84529099445575
95,0.8020202020202021,0.875,0.8333086931407278,59.70998105645238
96,0.8040404040404041,-0.875,0.8299163294190778,908.5470951831278
97,0.8040404040404041,-0.625,0.8299163294190778,827.4211502225692
98,0.8040404040404041,-0.375,0.8299163294190778,672.6391806547432
99,0.8040404040404041,-0.125,0.8299163294190778,483.7557246717763
